state,source,scrape_ts,game_number,game_name,price,overall_odds_1_in,top_prize_amount,top_prizes_remaining,all_prizes_remaining,status,detail_url,prize_data,true_ev
NY,lottery_net,2026-01-19T00:25:59.156915+00:00,1464,"$10,000,000 Bonus",30.0,3.64,10000000.0,,0,active,https://scratchcards.net/new-york/1464,[],
NY,lottery_net,2026-01-19T00:25:59.156945+00:00,1453,Win For Life,2.0,3.75,1.0,,1,active,https://scratchcards.net/new-york/1453,[],
NY,lottery_net,2026-01-19T00:25:59.156956+00:00,1489,"$10,000,000 Deluxe",30.0,3.64,10000000.0,,0,active,https://scratchcards.net/new-york/1489,[],
NY,lottery_net,2026-01-19T00:25:59.156965+00:00,1510,Loose Change Multiplier,5.0,4.01,500000.0,,0,active,https://scratchcards.net/new-york/1510,[],
NY,lottery_net,2026-01-19T00:25:59.156974+00:00,1512,X Series: 200X,30.0,3.62,10000000.0,,1,active,https://scratchcards.net/new-york/1512,[],
NY,lottery_net,2026-01-19T00:25:59.156983+00:00,1517,Electric 10X,10.0,3.94,150.0,,0,active,https://scratchcards.net/new-york/1517,[],
NY,lottery_net,2026-01-19T00:25:59.156991+00:00,1531,Cashword Doubler,2.0,5.09,20000.0,,1,active,https://scratchcards.net/new-york/1531,[],
NY,lottery_net,2026-01-19T00:25:59.157000+00:00,1528,"$300,000,000 Cash Payout",20.0,3.55,5000000.0,,1,active,https://scratchcards.net/new-york/1528,[],
NY,lottery_net,2026-01-19T00:25:59.157008+00:00,1540,Millionaire Maker,20.0,3.91,1000000.0,,4,active,https://scratchcards.net/new-york/1540,[],
NY,lottery_net,2026-01-19T00:25:59.157017+00:00,1546,Vip Millions,30.0,3.59,5000000.0,,2,active,https://scratchcards.net/new-york/1546,[],
NY,lottery_net,2026-01-19T00:25:59.157026+00:00,1552,Loose Change,1.0,4.7,500.0,,55,active,https://scratchcards.net/new-york/1552,[],
NY,lottery_net,2026-01-19T00:25:59.157034+00:00,1556,Cash X10,2.0,4.8,25000.0,,0,active,https://scratchcards.net/new-york/1556,[],
NY,lottery_net,2026-01-19T00:25:59.157043+00:00,1548,Set For Life,10.0,3.96,5.0,,0,active,https://scratchcards.net/new-york/1548,[],
NY,lottery_net,2026-01-19T00:25:59.157051+00:00,1561,Instant $500,10.0,4.19,500.0,,8030,active,https://scratchcards.net/new-york/1561,[],
NY,lottery_net,2026-01-19T00:25:59.157059+00:00,1567,Triple Jackpot 777,10.0,4.23,150.0,,0,active,https://scratchcards.net/new-york/1567,[],
NY,lottery_net,2026-01-19T00:25:59.157067+00:00,1568,Ruby Red 7S,5.0,4.15,777777.0,,0,active,https://scratchcards.net/new-york/1568,[],
NY,lottery_net,2026-01-19T00:25:59.157076+00:00,1571,All Cash,20.0,4.64,5000.0,,267,active,https://scratchcards.net/new-york/1571,[],
NY,lottery_net,2026-01-19T00:25:59.157084+00:00,1573,It Takes 2,2.0,4.87,25000.0,,0,active,https://scratchcards.net/new-york/1573,[],
NY,lottery_net,2026-01-19T00:25:59.157092+00:00,1577,Wild Cash Multiplier,5.0,4.13,500000.0,,0,active,https://scratchcards.net/new-york/1577,[],
NY,lottery_net,2026-01-19T00:25:59.157100+00:00,1579,"$5,000,000 Cash Royale",20.0,3.9,250.0,,2,active,https://scratchcards.net/new-york/1579,[],
NY,lottery_net,2026-01-19T00:25:59.157109+00:00,1574,Instant Take 5,1.0,4.69,5555.0,,24,active,https://scratchcards.net/new-york/1574,[],
NY,lottery_net,2026-01-19T00:25:59.157117+00:00,1582,Multiplier Craze,10.0,3.92,150.0,,0,active,https://scratchcards.net/new-york/1582,[],
NY,lottery_net,2026-01-19T00:25:59.157124+00:00,1585,Jackpot Fortune,30.0,3.65,500.0,,1,active,https://scratchcards.net/new-york/1585,[],
NY,lottery_net,2026-01-19T00:25:59.157133+00:00,1586,Plus The Money,5.0,4.57,500000.0,,2,active,https://scratchcards.net/new-york/1586,[],
NY,lottery_net,2026-01-19T00:25:59.157141+00:00,1587,Match For Cash,3.0,4.34,60000.0,,0,active,https://scratchcards.net/new-york/1587,[],
NY,lottery_net,2026-01-19T00:25:59.157149+00:00,1594,Xtreme Match,1.0,4.82,5000.0,,0,active,https://scratchcards.net/new-york/1594,[],
NY,lottery_net,2026-01-19T00:25:59.157157+00:00,1595,Xtreme Cash,10.0,3.92,150.0,,0,active,https://scratchcards.net/new-york/1595,[],
NY,lottery_net,2026-01-19T00:25:59.157165+00:00,1596,Xtreme Winnings,5.0,4.09,50.0,,0,active,https://scratchcards.net/new-york/1596,[],
NY,lottery_net,2026-01-19T00:25:59.157173+00:00,1597,Xtreme Bucks,2.0,4.79,25000.0,,1,active,https://scratchcards.net/new-york/1597,[],
NY,lottery_net,2026-01-19T00:25:59.157181+00:00,1584,"$10,000 A Week For Life",20.0,3.74,10.0,,0,active,https://scratchcards.net/new-york/1584,[],
NY,lottery_net,2026-01-19T00:25:59.157189+00:00,1588,Cashword,2.0,5.02,10000.0,,0,active,https://scratchcards.net/new-york/1588,[],
NY,lottery_net,2026-01-19T00:25:59.157197+00:00,1599,Xtreme Money,20.0,3.66,250.0,,0,active,https://scratchcards.net/new-york/1599,[],
NY,lottery_net,2026-01-19T00:25:59.157206+00:00,1600,"$500,000 Blast",5.0,4.02,500000.0,,1,active,https://scratchcards.net/new-york/1600,[],
NY,lottery_net,2026-01-19T00:25:59.157214+00:00,1603,Show Me $500,10.0,4.17,500.0,,574,active,https://scratchcards.net/new-york/1603,[],
NY,lottery_net,2026-01-19T00:25:59.157222+00:00,1604,Win $250,5.0,4.38,250.0,,542,active,https://scratchcards.net/new-york/1604,[],
NY,lottery_net,2026-01-19T00:25:59.157230+00:00,1606,"$10,000,000 Cash",30.0,3.65,500.0,,1,active,https://scratchcards.net/new-york/1606,[],
NY,lottery_net,2026-01-19T00:25:59.157238+00:00,1608,Double Deuces,2.0,4.88,25000.0,,2,active,https://scratchcards.net/new-york/1608,[],
NY,lottery_net,2026-01-19T00:25:59.157246+00:00,1598,Lucky 7S,1.0,4.96,7000.0,,0,active,https://scratchcards.net/new-york/1598,[],
NY,lottery_net,2026-01-19T00:25:59.157254+00:00,1609,"$2,000,000 Cashword",20.0,3.82,100.0,,1,active,https://scratchcards.net/new-york/1609,[],
NY,lottery_net,2026-01-19T00:25:59.157262+00:00,1610,Double Win,5.0,4.2,500000.0,,1,active,https://scratchcards.net/new-york/1610,[],
NY,lottery_net,2026-01-19T00:25:59.157398+00:00,1611,Lucky Lines,3.0,3.8,60000.0,,8,active,https://scratchcards.net/new-york/1611,[],
NY,lottery_net,2026-01-19T00:25:59.157407+00:00,1612,"$3,000,000 Max",10.0,4.01,150.0,,1,active,https://scratchcards.net/new-york/1612,[],
NY,lottery_net,2026-01-19T00:25:59.157415+00:00,1613,Big Money X20,5.0,4.11,500000.0,,0,active,https://scratchcards.net/new-york/1613,[],
NY,lottery_net,2026-01-19T00:25:59.157423+00:00,1614,5 Times Lucky,1.0,4.77,5000.0,,2,active,https://scratchcards.net/new-york/1614,[],
NY,lottery_net,2026-01-19T00:25:59.157439+00:00,1617,Triple 7-11-21,2.0,4.91,21000.0,,1,active,https://scratchcards.net/new-york/1617,[],
NY,lottery_net,2026-01-19T00:25:59.157455+00:00,1621,Win $100 Or $200,20.0,8.0,200.0,,1928,active,https://scratchcards.net/new-york/1621,[],
NY,lottery_net,2026-01-19T00:25:59.157463+00:00,1622,25X The Gold,5.0,4.23,500000.0,,0,active,https://scratchcards.net/new-york/1622,[],
NY,lottery_net,2026-01-19T00:25:59.157471+00:00,1623,Double Doubler,1.0,4.84,4000.0,,0,active,https://scratchcards.net/new-york/1623,[],
NY,lottery_net,2026-01-19T00:25:59.157480+00:00,1633,"$1,000,000 Cashword Bonus",10.0,4.32,50.0,,0,active,https://scratchcards.net/new-york/1633,[],
NY,lottery_net,2026-01-19T00:25:59.157487+00:00,1632,Double Triple Cashword,5.0,5.14,300000.0,,4,active,https://scratchcards.net/new-york/1632,[],
NY,lottery_net,2026-01-19T00:25:59.157496+00:00,1624,Win For Life,2.0,3.97,1000.0,,6,active,https://scratchcards.net/new-york/1624,[],
NY,lottery_net,2026-01-19T00:25:59.157504+00:00,1627,Cash Drop,2.0,4.81,25000.0,,2,active,https://scratchcards.net/new-york/1627,[],
NY,lottery_net,2026-01-19T00:25:59.157512+00:00,1625,"$3,000,000 Grande",10.0,3.93,150.0,,0,active,https://scratchcards.net/new-york/1625,[],
NY,lottery_net,2026-01-19T00:25:59.157520+00:00,1626,"$1,000,000 Grande",5.0,4.01,50.0,,0,active,https://scratchcards.net/new-york/1626,[],
NY,lottery_net,2026-01-19T00:25:59.157536+00:00,1630,Money Rush,5.0,4.6,500000.0,,1,active,https://scratchcards.net/new-york/1630,[],
NY,lottery_net,2026-01-19T00:25:59.157544+00:00,1631,Multiply Your Numbers,3.0,4.12,60000.0,,1,active,https://scratchcards.net/new-york/1631,[],
NY,lottery_net,2026-01-19T00:25:59.157552+00:00,1629,"$100, $200 0R $500",30.0,6.25,500.0,,1041,active,https://scratchcards.net/new-york/1629,[],
NY,lottery_net,2026-01-19T00:25:59.157560+00:00,1635,Holiday Riches,5.0,3.95,500000.0,,1,active,https://scratchcards.net/new-york/1635,[],
